;island;Richness;Even
swash36;deep;0.084386411;0.268466443
swash37;deep;0.085360437;0.257061851
swash38;deep;0.062437303;0.22306876
swash39;deep;0.068560119;0.252704709
swash4;deep;0.055240158;0.254579532
swash40;deep;0.068520669;0.224282416
swash41;deep;0.08388066;0.245014325
swash42;deep;0.060071158;0.268451928
swash43;deep;0.059173139;0.220062847
swash44;deep;0.053199081;0.26859467
swash45;deep;0.054107054;0.277089753
swash46;deep;0.063425003;0.240056876
swash47;deep;0.068241071;0.235277936
swash48;deep;0.060996516;0.231073564
swash49;deep;0.053581973;0.216250328
swash5;deep;0.058394403;0.240441277
swash50;deep;0.055157878;0.263133284
swash51;deep;0.048983793;0.246396473
swash52;deep;0.06194623;0.249272173
swash53;deep;0.072933256;0.24812142
swash54;deep;0.054324233;0.239662357
swash55;deep;0.07632037;0.239614656
swash56;deep;0.063226896;0.247038828
swash57;deep;0.083532103;0.258291194
swash58;deep;0.065338733;0.248046241
swash59;deep;0.063750843;0.237901902
swash6;deep;0.054908666;0.284046129
swash60;deep;0.062882543;0.223327675
swash61;deep;0.044979127;0.26688405
swash62;deep;0.058002853;0.246059653
swash63;deep;0.07383958;0.234049867
swash64;deep;0.058737873;0.253785984
swash65;deep;0.089988853;0.25387519
swash66;deep;0.073571237;0.258086877
swash67;deep;0.074685069;0.240990477
swash68;deep;0.084448448;0.255526948
swash69;deep;0.066602186;0.251239036
swash7;deep;0.068129509;0.257239811
swash70;deep;0.086529683;0.26893071
swash71;deep;0.055006808;0.273804335
swash72;deep;0.064231147;0.234188315
swash73;deep;0.032787939;0.247439339
swash74;deep;0.048316981;0.276265452
swash75;deep;0.072120251;0.228231272
swash76;deep;0.053522502;0.260448408
swash77;deep;0.074621254;0.233120914
swash78;deep;0.080784354;0.244590678
swash79;deep;0.069055303;0.267076929
swash8;deep;0.057094426;0.24136869
swash80;deep;0.071222893;0.259207043
swash81;deep;0.078309314;0.248877139
swash82;deep;0.064131943;0.228713284
swash83;deep;0.052251156;0.236437635
swash84;deep;0.054714976;0.266591842
swash85;deep;0.068432323;0.25752405
swash86;deep;0.08058161;0.263848102
swash87;deep;0.068846966;0.259769144
swash88;deep;0.049386342;0.239503987
swash89;deep;0.06863496;0.269844319
swash9;deep;0.052683838;0.273272736
swash90;deep;0.091630701;0.24349968
swash91;deep;0.04933405;0.270104509
swash92;deep;0.055010462;0.23584243
swash93;deep;0.081210529;0.253054647
swash94;deep;0.071324933;0.256340233
swash95;deep;0.076564097;0.260694435
swash96;deep;0.067606815;0.255921863
swash97;deep;0.062707942;0.244469598
swash98;deep;0.059646422;0.254953356
swash99;deep;0.049455062;0.243201945
deep1;swash;0.05525408;0.243798992
deep10;swash;0.063747594;0.240973265
deep100;swash;0.050619568;0.235516182
deep11;swash;0.05184693;0.211781854
deep12;swash;0.057748275;0.233098123
deep13;swash;0.059977471;0.253731706
deep14;swash;0.054966169;0.236442365
deep15;swash;0.055270061;0.238084097
deep16;swash;0.053318003;0.228321583
deep17;swash;0.060117597;0.236406166
deep18;swash;0.048546574;0.246541399
deep19;swash;0.040875345;0.215300121
deep2;swash;0.049018362;0.23584858
deep20;swash;0.056421475;0.231951531
deep21;swash;0.05853158;0.2224418
deep22;swash;0.047221683;0.242534978
deep23;swash;0.051882854;0.247465568
deep24;swash;0.066554779;0.246195133
deep25;swash;0.061934386;0.232113058
deep26;swash;0.049220402;0.233471247
deep27;swash;0.063185792;0.232599863
deep28;swash;0.054936468;0.224923283
deep29;swash;0.062058208;0.236338249
deep3;swash;0.059991497;0.243321946
deep30;swash;0.069455701;0.251615649
deep31;swash;0.057196188;0.235199949
deep32;swash;0.047560706;0.223114976
deep33;swash;0.057272755;0.222620295
deep34;swash;0.069710802;0.242280908
deep35;swash;0.055926987;0.230909027
deep36;swash;0.054931552;0.231136794
deep37;swash;0.063822983;0.248315565
deep38;swash;0.060284558;0.224845082
deep39;swash;0.060469465;0.23747572
deep4;swash;0.045717549;0.218237085
deep40;swash;0.051808668;0.250483729
deep41;swash;0.059300845;0.225257567
deep42;swash;0.068257892;0.241119029
deep43;swash;0.062116453;0.227451485
deep44;swash;0.052961678;0.243044503
deep45;swash;0.060358201;0.247340596
deep46;swash;0.06307117;0.226078028
deep47;swash;0.058168383;0.228672308
deep48;swash;0.063602993;0.231071061
deep49;swash;0.065683232;0.241191386
deep5;swash;0.071074822;0.243370882
deep50;swash;0.046034842;0.230851303
deep51;swash;0.04961999;0.236389235
deep52;swash;0.050801828;0.248904508
deep53;swash;0.058359086;0.242811671
deep54;swash;0.058643935;0.219304753
deep55;swash;0.060355288;0.232086671
deep56;swash;0.057910971;0.216980173
deep57;swash;0.064930196;0.242600974
deep58;swash;0.057799832;0.243935585
deep59;swash;0.056127871;0.235958323
deep6;swash;0.054423847;0.234054916
deep60;swash;0.054874657;0.237682536
deep61;swash;0.050575636;0.24067161
deep62;swash;0.059445941;0.223817625
deep63;swash;0.064669695;0.240976097
deep64;swash;0.049185901;0.221490237
deep65;swash;0.05682075;0.241784029
deep66;swash;0.061677977;0.231928466
deep67;swash;0.054221658;0.234362525
deep68;swash;0.054385651;0.248272848
deep69;swash;0.059079852;0.241654084
deep7;swash;0.050237129;0.253456914
deep70;swash;0.056883783;0.238776773
deep71;swash;0.050080029;0.216615596
deep72;swash;0.059627802;0.23626117
deep73;swash;0.052066098;0.231143964
deep74;swash;0.067264706;0.243574781
deep75;swash;0.059182154;0.22991934
deep76;swash;0.052109918;0.230965475
deep77;swash;0.059960092;0.235137653
deep78;swash;0.040696058;0.242021924
deep79;swash;0.063538414;0.248853899
deep8;swash;0.059933418;0.243305062
deep80;swash;0.042022261;0.215574651
deep81;swash;0.054534055;0.23950244
deep82;swash;0.047646769;0.244601242
deep83;swash;0.067270364;0.245577448
