code;salinity_avg;salinity_max;salinity_min;temperature_avg;temperature_max;temperature_min;oxygen_avg;oxygen_max;oxygen_min;pprod_avg;pprod_max;pprod_min;ph_avg;ph_max;ph_min;alcalinity_avg;alcalinity_max;alcalinity_min;disolvC_avg;disolvC_max;disolvC_min;nitrate_avg;nitrate_max;nitrate_min;phosphate_avg;phosphate_max;phosphate_min;silicate_avg;silicate_max;silicate_min;ammonium_avg;ammonium_max;ammonium_min;zoopla_avg;zoopla_max;zoopla_min;chloroph_avg;chloroph_max;chloroph_min;phytopl_avg;phytopl_max;phytopl_min;northward_avg;northward_max;northward_min;easteward_avg;easteward_max;easteward_min
st.201;37.9855285;38.41083188;37.39756266;19.65810051;27.81486109;13.31641123;234.3914931;254.9734768;212.072486;11.69639699;19.14997949;6.21038527;8.055213171;8.142652935;7.948392179;2.649710968;2.662943708;2.633798149;2.335956459;2.353141255;2.312495073;0.713920294;1.709908141;0.077881217;0.010421402;0.018738878;0.006693089;2.487716536;3.187000089;2.184539901;0.168168491;0.282316585;0.04940714;1.31404725;2.107015424;0.7568375;0.214158226;0.550733897;0.052111588;0.810594266;1.602543791;0.212601059;0.010972351;0.049233167;-0.039501331;0.007480433;0.041553041;-0.04109538
st.202;37.9790903;38.40771212;37.29287284;19.75393745;28.08377348;13.18123313;234.1348361;254.7610016;209.8193316;12.15140348;19.00704656;6.777679239;8.054079388;8.144083704;7.945434638;2.646970045;2.661673989;2.624970981;2.333590368;2.352056265;2.310338361;0.636651812;1.566483055;0.107527599;0.011336039;0.021193035;0.006085623;2.447612064;3.098080192;2.174994946;0.156761375;0.269640995;0.060949367;1.333946185;2.094088997;0.77359036;0.212617412;0.535205288;0.058017912;0.832028585;1.675692609;0.264343387;0.008796945;0.055194931;-0.035433618;0.000159878;0.030388814;-0.03874458
st.203;37.9790903;38.40771212;37.29287284;19.75393745;28.08377348;13.18123313;234.1348361;254.7610016;209.8193316;12.15140348;19.00704656;6.777679239;8.054079388;8.144083704;7.945434638;2.646970045;2.661673989;2.624970981;2.333590368;2.352056265;2.310338361;0.636651812;1.566483055;0.107527599;0.011336039;0.021193035;0.006085623;2.447612064;3.098080192;2.174994946;0.156761375;0.269640995;0.060949367;1.333946185;2.094088997;0.77359036;0.212617412;0.535205288;0.058017912;0.832028585;1.675692609;0.264343387;0.008796945;0.055194931;-0.035433618;0.000159878;0.030388814;-0.03874458
st.204;37.9790903;38.40771212;37.29287284;19.75393745;28.08377348;13.18123313;234.1348361;254.7610016;209.8193316;12.15140348;19.00704656;6.777679239;8.054079388;8.144083704;7.945434638;2.646970045;2.661673989;2.624970981;2.333590368;2.352056265;2.310338361;0.636651812;1.566483055;0.107527599;0.011336039;0.021193035;0.006085623;2.447612064;3.098080192;2.174994946;0.156761375;0.269640995;0.060949367;1.333946185;2.094088997;0.77359036;0.212617412;0.535205288;0.058017912;0.832028585;1.675692609;0.264343387;0.008796945;0.055194931;-0.035433618;0.000159878;0.030388814;-0.03874458
st.205;37.9363848;38.32676277;37.3195755;19.79570776;28.04877434;13.33766603;233.6618229;255.7272461;208.0737823;13.91822099;24.49722633;5.943796682;8.052042802;8.134474659;7.947895193;2.641862958;2.659349728;2.614668202;2.329729186;2.34867065;2.30279057;0.593576423;1.25292666;0.125801334;0.016717363;0.050091329;0.006058237;2.418423763;2.878500199;2.130613685;0.149986168;0.241223988;0.065258128;1.352313147;2.265774632;0.769935429;0.218598069;0.510893795;0.062434956;0.925308188;1.970823455;0.25857624;0.004693061;0.066906838;-0.061088272;-0.002726558;0.03221905;-0.052415056
st.206;37.9363848;38.32676277;37.3195755;19.79570776;28.04877434;13.33766603;233.6618229;255.7272461;208.0737823;13.91822099;24.49722633;5.943796682;8.052042802;8.134474659;7.947895193;2.641862958;2.659349728;2.614668202;2.329729186;2.34867065;2.30279057;0.593576423;1.25292666;0.125801334;0.016717363;0.050091329;0.006058237;2.418423763;2.878500199;2.130613685;0.149986168;0.241223988;0.065258128;1.352313147;2.265774632;0.769935429;0.218598069;0.510893795;0.062434956;0.925308188;1.970823455;0.25857624;0.004693061;0.066906838;-0.061088272;-0.002726558;0.03221905;-0.052415056
st.207;37.9363848;38.32676277;37.3195755;19.79570776;28.04877434;13.33766603;233.6618229;255.7272461;208.0737823;13.91822099;24.49722633;5.943796682;8.052042802;8.134474659;7.947895193;2.641862958;2.659349728;2.614668202;2.329729186;2.34867065;2.30279057;0.593576423;1.25292666;0.125801334;0.016717363;0.050091329;0.006058237;2.418423763;2.878500199;2.130613685;0.149986168;0.241223988;0.065258128;1.352313147;2.265774632;0.769935429;0.218598069;0.510893795;0.062434956;0.925308188;1.970823455;0.25857624;0.004693061;0.066906838;-0.061088272;-0.002726558;0.03221905;-0.052415056
st.208;37.84065914;38.2580882;37.31922843;19.8283523;27.57650479;13.43930461;233.3897089;253.0696245;212.5096574;13.18108389;22.69405036;4.862464818;8.051000642;8.129183856;7.950089715;2.633824239;2.655083938;2.61214835;2.323812527;2.343230443;2.297249339;0.607999488;1.221293558;0.079557564;0.023362595;0.06628212;0.005650789;2.404611675;2.813278718;2.164413626;0.152407802;0.242012048;0.054146936;1.379355804;2.320073171;0.749011007;0.182569927;0.403532939;0.060108105;0.9304471;2.491338643;0.239197556;-0.016020059;0.012305371;-0.046878718;0.01026233;0.037913359;-0.019146297
st.209;37.84065914;38.2580882;37.31922843;19.8283523;27.57650479;13.43930461;233.3897089;253.0696245;212.5096574;13.18108389;22.69405036;4.862464818;8.051000642;8.129183856;7.950089715;2.633824239;2.655083938;2.61214835;2.323812527;2.343230443;2.297249339;0.607999488;1.221293558;0.079557564;0.023362595;0.06628212;0.005650789;2.404611675;2.813278718;2.164413626;0.152407802;0.242012048;0.054146936;1.379355804;2.320073171;0.749011007;0.182569927;0.403532939;0.060108105;0.9304471;2.491338643;0.239197556;-0.016020059;0.012305371;-0.046878718;0.01026233;0.037913359;-0.019146297
st.210;37.84065914;38.2580882;37.31922843;19.8283523;27.57650479;13.43930461;233.3897089;253.0696245;212.5096574;13.18108389;22.69405036;4.862464818;8.051000642;8.129183856;7.950089715;2.633824239;2.655083938;2.61214835;2.323812527;2.343230443;2.297249339;0.607999488;1.221293558;0.079557564;0.023362595;0.06628212;0.005650789;2.404611675;2.813278718;2.164413626;0.152407802;0.242012048;0.054146936;1.379355804;2.320073171;0.749011007;0.182569927;0.403532939;0.060108105;0.9304471;2.491338643;0.239197556;-0.016020059;0.012305371;-0.046878718;0.01026233;0.037913359;-0.019146297
