code;marco.name;name;level;Country;Region;Mediterranean_Region;mean;sorting;skewness;kurtosis;comment.gran;latitude;longitude;Length;Orientation;Town;Harbour;richness
st.069;Amantea deep;Amantea;deep;ITA;Calabria;Western Mediterranean;1582.6;1.708;0.146;1.367;ok;39.1003181;16.0787911;4.5;W;YES;NO;4
st.070;Paestum swash;Paestum;swash;ITA;Campania;Western Mediterranean;975.2;2.036;0.298;1.217;ok;40.4372252;14.9743992;12.9;W;YES;NO;1
st.071;Paestum mid;Paestum;mid;ITA;Campania;Western Mediterranean;427.3;1.502;0.241;0.924;ok;40.4372253;14.9743993;12.9;W;YES;NO;4
st.072;Paestum deep;Paestum;deep;ITA;Campania;Western Mediterranean;246.5;1.549;0.053;0.739;ok;40.4372251;14.9743991;12.9;W;YES;NO;4
st.073;Torre Picentina swash;Torre_Picentina;swash;ITA;Campania;Western Mediterranean;1728.1;2.036;0.161;1.053;ok;40.6311422;14.8334362;0.9;W;YES;NO;1
st.074;Torre Picentina mid;Torre_Picentina;mid;ITA;Campania;Western Mediterranean;390.5;1.439;0.227;1.086;ok;40.6311423;14.8334363;0.9;W;YES;NO;3
st.075;Torre Picentina deep;Torre_Picentina;deep;ITA;Campania;Western Mediterranean;263.9;1.545;-0.107;0.75;ok;40.6311421;14.8334361;0.9;W;YES;NO;5
st.079;Formia swash;Formia;swash;ITA;Lazio;Western Mediterranean;1059.9;1.869;0.29;0.916;ok;41.2487422;13.5888722;1.7;S;YES;YES;3
st.080;Formia mid;Formia;mid;ITA;Lazio;Western Mediterranean;228.4;2.099;0.513;1.95;ok;41.2487433;13.5888723;1.7;S;YES;YES;2
st.081;Formia deep;Formia;deep;ITA;Lazio;Western Mediterranean;154.5;1.593;-0.101;1.258;ok;41.2487411;13.5888721;1.7;S;YES;YES;1
st.082;Terracina swash;Terracina;swash;ITA;Lazio;Western Mediterranean;1831.2;1.948;0.187;1.105;ok;41.2828262;13.2087992;4.3;S;YES;NO;1
st.083;Terracina mid;Terracina;mid;ITA;Lazio;Western Mediterranean;199;1.482;0.29;1.227;ok;41.2828263;13.2087993;4.3;S;YES;NO;3
st.084;Terracina deep;Terracina;deep;ITA;Lazio;Western Mediterranean;173.7;1.416;-0.032;1;ok;41.2828261;13.2087991;4.3;S;YES;NO;1
st.085;Gaeta swash;Gaeta;swash;ITA;Lazio;Western Mediterranean;317.2;1.43;-0.232;1.091;ok;41.2373182;13.4844262;2.4;SW;YES;NO;6
st.086;Gaeta mid;Gaeta;mid;ITA;Lazio;Western Mediterranean;232.6;1.528;0.169;0.771;ok;41.2373183;13.4844263;2.4;SW;YES;NO;4
st.087;Gaeta deep;Gaeta;deep;ITA;Lazio;Western Mediterranean;219.1;1.511;0.246;0.882;ok;41.2373181;13.4844261;2.4;SW;YES;NO;3
st.088;Marina di Latina swash;Marina_di_Latina;swash;ITA;Lazio;Western Mediterranean;554.8;2.042;-0.037;1.012;ok;41.4148732;12.8263162;9.6;SW;YES;NO;4
st.089;Marina di Latina mid;Marina_di_Latina;mid;ITA;Lazio;Western Mediterranean;233.1;1.763;0.401;1.091;ok;41.4148733;12.8263163;9.6;SW;YES;NO;8
st.090;Marina di Latina deep;Marina_di_Latina;deep;ITA;Lazio;Western Mediterranean;180.7;1.45;0.052;1.351;ok;41.4148731;12.8263161;9.6;SW;YES;NO;1
st.091;Santa Severa swash;Santa_Severa;swash;ITA;Lazio;Western Mediterranean;1614.9;1.645;0.088;1.199;ok;42.0212612;11.9481352;1;SW;YES;NO;3
st.092;Santa Severa mid;Santa_Severa;mid;ITA;Lazio;Western Mediterranean;374.7;2.609;0.453;1.459;ok;42.0212613;11.9481353;1;SW;YES;NO;3
st.093;Santa Severa deep;Santa_Severa;deep;ITA;Lazio;Western Mediterranean;193.3;1.544;0.124;1.336;ok;42.0212611;11.9481351;1;SW;YES;NO;2
st.094;Ansedonia swash;Ansedonia;swash;ITA;Lazio;Western Mediterranean;451.2;1.521;0.231;0.827;ok;42.4081322;11.2970582;47.4;SW;YES;NO;3
st.095;Ansedonia mid;Ansedonia;mid;ITA;Lazio;Western Mediterranean;439.2;1.518;0.244;0.874;ok;42.4081333;11.2970583;47.4;SW;YES;NO;3
st.096;Ansedonia deep;Ansedonia;deep;ITA;Lazio;Western Mediterranean;330;1.393;-0.189;1.105;ok;42.4081311;11.2970581;47.4;SW;YES;NO;3
st.097;Principina swash;Principina;swash;ITA;Toscana;Western Mediterranean;323.2;1.643;-0.05;1.293;ok;42.6893162;10.9968632;5.9;SW;YES;NO;3
st.098;Principina mid;Principina;mid;ITA;Toscana;Western Mediterranean;211;1.483;0.257;1.013;ok;42.6893163;10.9968633;5.9;SW;YES;NO;1
st.099;Principina deep;Principina;deep;ITA;Toscana;Western Mediterranean;268.9;1.605;-0.016;0.829;ok;42.6893161;10.9968631;5.9;SW;YES;NO;4
st.100;Castiglione swash;Castiglione;swash;ITA;Toscana;Western Mediterranean;619.8;2.049;0.045;1.104;ok;42.7631392;10.8732642;1.3;SW;YES;NO;8
st.101;Castiglione mid;Castiglione;mid;ITA;Toscana;Western Mediterranean;195.7;1.421;0.232;1.119;ok;42.7631393;10.8732643;1.3;SW;YES;NO;7
st.102;Castiglione deep;Castiglione;deep;ITA;Toscana;Western Mediterranean;152.2;1.585;-0.107;1.173;ok;42.7631391;10.8732641;1.3;SW;YES;NO;7
st.103;Bagno Arcobaleno swash;Bagno_Arcobaleno;swash;ITA;Toscana;Western Mediterranean;492.4;1.943;0.022;1.132;ok;42.7676052;10.8532762;5.7;SW;YES;NO;3
st.104;Bagno Arcobaleno mid;Bagno_Arcobaleno;mid;ITA;Toscana;Western Mediterranean;185.9;1.375;0.239;1.099;ok;42.7676053;10.8532763;5.7;SW;YES;NO;7
st.105;Bagno Arcobaleno deep;Bagno_Arcobaleno;deep;ITA;Toscana;Western Mediterranean;178.4;1.497;-0.094;1.143;ok;42.7676051;10.8532761;5.7;SW;YES;NO;3
st.106;Torre Civette swash;Torre_Civette;swash;ITA;Toscana;Western Mediterranean;623.4;2.893;0.012;0.987;ok;42.8472982;10.7756142;0.4;SW;YES;NO;3
st.107;Torre Civette mid;Torre_Civette;mid;ITA;Toscana;Western Mediterranean;188.4;1.501;0.197;0.884;ok;42.8472983;10.7756143;0.4;SW;YES;NO;6
st.108;Torre Civette deep;Torre_Civette;deep;ITA;Toscana;Western Mediterranean;142.2;1.482;-0.188;1.042;ok;42.8472981;10.7756141;0.4;SW;YES;NO;5
st.109;Weltring swash;Weltring;swash;ITA;Toscana;Western Mediterranean;706;2.661;-0.016;0.861;ok;42.8105532;10.7603652;4.5;NW;YES;NO;5
st.110;Weltring mid;Weltring;mid;ITA;Toscana;Western Mediterranean;235.1;1.554;0.185;0.772;ok;42.8105533;10.7603653;4.5;NW;YES;NO;6
st.111;Weltring deep;Weltring;deep;ITA;Toscana;Western Mediterranean;157.7;1.454;-0.235;1.072;ok;42.8105531;10.7603651;4.5;NW;YES;NO;8
st.112;Baratti swash;Baratti;swash;ITA;Toscana;Western Mediterranean;969.4;3.31;-0.239;0.703;ok;42.9903742;10.5051272;1.6;NW;NO;YES;2
st.113;Baratti mid;Baratti;mid;ITA;Toscana;Western Mediterranean;172.2;1.321;-0.138;1.02;ok;42.9903743;10.5051273;1.6;NW;NO;YES;1
st.114;Baratti deep;Baratti;deep;ITA;Toscana;Western Mediterranean;164;1.462;-0.125;1.223;ok;42.9903741;10.5051271;1.6;NW;NO;YES;2
st.115;Cecina swash;Cecina;swash;ITA;Toscana;Western Mediterranean;384.9;1.697;0.164;1.496;ok;43.2885422;10.5033292;0.3;NW;NO;NO;5
st.116;Cecina mid;Cecina;mid;ITA;Toscana;Western Mediterranean;306.9;1.659;-0.059;1.181;ok;43.2885423;10.5033293;0.3;NW;NO;NO;4
st.117;Cecina deep;Cecina;deep;ITA;Toscana;Western Mediterranean;223.3;1.681;0.037;0.921;ok;43.2885421;10.5033291;0.3;NW;NO;NO;8
st.118;Tirrenia swash;Tirrenia;swash;ITA;Toscana;Western Mediterranean;355.7;1.398;0.029;1.252;ok;43.6233052;10.2869992;8.5;W;YES;NO;4
st.119;Tirrenia mid;Tirrenia;mid;ITA;Toscana;Western Mediterranean;356.7;1.426;0.023;1.308;ok;43.6233053;10.2869993;8.5;W;YES;NO;4
st.120;Tirrenia deep;Tirrenia;deep;ITA;Toscana;Western Mediterranean;216.5;1.703;0.022;0.952;ok;43.6233051;10.2869991;8.5;W;YES;NO;3
st.121;Bocca di Magra swash;Bocca_di_Magra;swash;ITA;Toscana;Western Mediterranean;1263.1;2.252;0.171;1.031;ok;44.0442052;9.9856762;0.1;SE;YES;NO;5
st.122;Bocca di Magra mid;Bocca_di_Magra;mid;ITA;Toscana;Western Mediterranean;1422.5;2.71;0.019;0.948;ok;44.0442053;9.9856763;0.1;SE;YES;NO;5
st.123;Bocca di Magra deep;Bocca_di_Magra;deep;ITA;Toscana;Western Mediterranean;1136.8;2.032;0.352;0.977;ok;44.0442051;9.9856761;0.1;SE;YES;NO;0
st.124;Savona swash;Savona;swash;ITA;Liguria;Western Mediterranean;927.5;2.776;0.03;0.948;ok;44.2948382;8.4642162;4.5;SE;YES;YES;2
st.125;Savona mid;Savona;mid;ITA;Liguria;Western Mediterranean;2150.3;1.893;0.022;0.974;ok;44.2948383;8.4642163;4.5;SE;YES;YES;1
st.127;Laigueglia swash;Laigueglia;swash;ITA;Liguria;Western Mediterranean;194.3;1.49;0.293;1.326;ok;43.9884881;8.1618861;4.7;SE;YES;YES;5
st.128;Laigueglia mid;Laigueglia;mid;ITA;Liguria;Western Mediterranean;181;1.364;0.175;1.134;ok;43.9884882;8.1618862;4.7;SE;YES;YES;4
