name;lon;lat
Occelluccia;8.716841256;42.57068945
Oliva;-0.062543433;38.92008986
Oliva;-0.062543433;38.92008986
Oliva;-0.062543433;38.92008986
Ossario_La_maddalena;8.293259208;41.05318173
Ossario_La_maddalena;8.293259208;41.05318173
Ossario_La_maddalena;8.293259208;41.05318173
Paestum;14.9743992;40.4372252
Paestum;14.9743992;40.4372252
Paestum;14.9743992;40.4372252
Palavas_les_Flots;3.9585411;43.5358311
Palavas_les_Flots;3.9585411;43.5358311
Palavas_les_Flots;3.9585411;43.5358311
Piane_Vecchie;13.91382905;38.01893453
Piane_Vecchie;13.91382905;38.01893453
Piane_Vecchie;13.91382905;38.01893453
Pirulì;0.0386691;40.0155111
Pirulì;0.0386691;40.0155111
Pirulì;0.0386691;40.0155111
Platamona;8.499579562;40.86347621
Platamona;8.499579562;40.86347621
Platamona;8.499579562;40.86347621
Playa_Catania;15.11769537;37.4812032
Playa_Catania;15.11769537;37.4812032
Playa_Catania;15.11769537;37.4812032
Poglina;8.3677731;40.4962121
Poglina;8.3677731;40.4962121
Poglina;8.3677731;40.4962121
port_Alcudia;3.202407104;39.82688509
port_Alcudia;3.202407104;39.82688509
port_Alcudia;3.202407104;39.82688509
Porto_Cesareo_Hotel_Blu;17.8825891;40.2696621
Porto_Cesareo_Hotel_Blu;17.8825891;40.2696621
Porto_Cesareo_Hotel_Blu;17.8825891;40.2696621
Porto_Cesareo_Strea;17.8971651;40.2594841
Porto_Cesareo_Strea;17.8971651;40.2594841
Porto_Cesareo_Strea;17.8971651;40.2594841
Porto_Cesareo_T._Scianuli;17.9092941;40.2383811
Porto_Cesareo_T._Scianuli;17.9092941;40.2383811
Porto_Cesareo_T._Scianuli;17.9092941;40.2383811
Porto_Corallo;9.655032287;39.44027862
Porto_Corallo;9.655032287;39.44027862
Porto_Corallo;9.655032287;39.44027862
Porto_Liscia;9.310632384;41.22165169
Porto_Liscia;9.310632384;41.22165169
Porto_Liscia;9.310632384;41.22165169
Porto_Palo;12.9099862;37.5759982
Porto_Palo;12.9099862;37.5759982
Porto_Palo;12.9099862;37.5759982
Porto_Pino;8.5986721;38.9624511
Porto_Pino;8.5986721;38.9624511
Porto_Pino;8.5986721;38.9624511
Porto_Pozzo;9.310632384;41.22165169
Porto_Pozzo;9.310632384;41.22165169
Porto_Pozzo;9.310632384;41.22165169
Porto_Scuso;8.3731531;39.2093381
Porto_Scuso;8.3731531;39.2093381
Porto_Scuso;8.3731531;39.2093381
Principina;10.9968632;42.6893162
Principina;10.9968632;42.6893162
Principina;10.9968632;42.6893162
Propriano;8.898679639;41.6944801
Propriano;8.898679639;41.6944801
Propriano;8.898679639;41.6944801
Puig_Playa;-0.269476627;39.58437223
Puig_Playa;-0.269476627;39.58437223
Puig_Playa;-0.269476627;39.58437223
Rena_majori;9.163094029;41.17715019
Rena_majori;9.163094029;41.17715019
Rena_majori;9.163094029;41.17715019
Rondinara;9.270357793;41.4637134
Rondinara;9.270357793;41.4637134
Rondinara;9.270357793;41.4637134
S.Marie_La_Mer;3.051378583;42.73634301
S.Marie_La_Mer;3.051378583;42.73634301
S.Marie_La_Mer;3.051378583;42.73634301
S'agata_Militello;14.61615842;38.082105
S'agata_Militello;14.61615842;38.082105
S'agata_Militello;14.61615842;38.082105
Saint_Maxime;6.6340671;43.3069241
Saint_Maxime;6.6340671;43.3069241
Saint_Maxime;6.6340671;43.3069241
Saint_Pierre_la_mer;3.1977851;43.1808511
Saint_Pierre_la_mer;3.1977851;43.1808511
Saint_Pierre_la_mer;3.1977851;43.1808511
Santa_Amanza;9.27171647;41.41078306
Santa_Amanza;9.27171647;41.41078306
Santa_Amanza;9.27171647;41.41078306
Santa_Giulia;9.302348707;41.52248429
Santa_Giulia;9.302348707;41.52248429
Santa_Giulia;9.302348707;41.52248429
Santa_Pola;-0.5765461;38.1904891
Santa_Pola;-0.5765461;38.1904891
Santa_Pola;-0.5765461;38.1904891
Santa_Severa;11.9481352;42.0212612
Santa_Severa;11.9481352;42.0212612
Santa_Severa;11.9481352;42.0212612
Savona;8.468805123;44.29398176
Savona;8.468805123;44.29398176
Savona;8.468805123;44.29398176
Sciacca;13.0572861;37.49580129
Sciacca;13.0572861;37.49580129
Sciacca;13.0572861;37.49580129
Ses_Covetes_east;2.9681081;39.3567121
Ses_Covetes_east;2.9681081;39.3567121
Ses_Covetes_east;2.9681081;39.3567121
Ses_Covetes_west;2.9627671;39.3603111
Ses_Covetes_west;2.9627671;39.3603111
Ses_Covetes_west;2.9627671;39.3603111
Son_Serra;3.250255943;39.75035707
Son_Serra;3.250255943;39.75035707
Son_Serra;3.250255943;39.75035707
Su_Pallosu;8.399853602;40.05431776
Su_Pallosu;8.399853602;40.05431776
Su_Pallosu;8.399853602;40.05431776
Tavolara;9.6799981;40.8927711
Tavolara;9.6799981;40.8927711
Tavolara;9.6799981;40.8927711
Terracina;13.2087992;41.2828262
Terracina;13.2087992;41.2828262
Terracina;13.2087992;41.2828262
Tiriarzu;9.755562877;40.64232615
Tiriarzu;9.755562877;40.64232615
Tiriarzu;9.755562877;40.64232615
Tirrenia;10.2869992;43.6233052
Tirrenia;10.2869992;43.6233052
Tirrenia;10.2869992;43.6233052
Torre_Civette;10.7756142;42.8472982
Torre_Civette;10.7756142;42.8472982
Torre_Civette;10.7756142;42.8472982
Torre_Nostra;0.2205991;40.1911841
Torre_Nostra;0.2205991;40.1911841
Torre_Nostra;0.2205991;40.1911841
